Trial,N,Source,Drug,Target,Cancer type,No. of treated patients,Dose,cutoff for all grade,cutoff for grades 3 or higher,All Grade,Grade 3-5,Infusion-related reaction (All Grade),Infusion-related reaction (Grade 3-5),Hypersensitivity (All Grade),Hypersensitivity (Grade 3-5),Influenza-like illness (All Grade),Influenza-like illness (Grade 3-5),Pyrexia (All Grade),Pyrexia (Grade 3-5),Chills (All Grade),Chills (Grade 3-5),Fatigue (All Grade),Fatigue (Grade 3-5),Pruritus (All Grade),Pruritus (Grade 3-5),Weight decreased (All Grade),Weight decreased (Grade 3-5),Insomnia (All Grade),Insomnia (Grade 3-5),Malaise (All Grade),Malaise (Grade 3-5),Uveitis (All Grade),Uveitis (Grade 3-5),Dry mouth (All Grade),Dry mouth (Grade 3-5),Stomatitis (All Grade),Stomatitis (Grade 3-5),Mucosal inflammation   (All Grade),Mucosal inflammation   (Grade 3-5),Hypertension (All Grade),Hypertension (Grade 3-5),Hypotension (All Grade),Hypotension (Grade 3-5),Edema peripheral (All Grade),Edema peripheral (Grade 3-5),Pneumonitis (All Grade),Pneumonitis (Grade 3-5),Dyspnea (All Grade),Dyspnea (Grade 3-5),Cough (All Grade),Cough (Grade 3-5),Pneumonia (All Grade),Pneumonia (Grade 3-5),Hypoxia (All Grade),Hypoxia (Grade 3-5),Decreased appetite (All Grade),Decreased appetite (Grade 3-5),Dehydration (All Grade),Dehydration (Grade 3-5),Nausea (All Grade),Nausea (Grade 3-5),Vomiting (All Grade),Vomiting (Grade 3-5),Diarrhea (All Grade),Diarrhea (Grade 3-5),Constipation (All Grade),Constipation (Grade 3-5),Abdominal pain (All Grade),Abdominal pain (Grade 3-5),Colitis (All Grade),Colitis (Grade 3-5),Alanine aminotransferase increased (ALT) (All Grade),Alanine aminotransferase increased (ALT) (Grade 3-5),Aspartate aminotransferase increased (AST) (All Grade),Aspartate aminotransferase increased (AST) (Grade 3-5),Blood alkaline phosphatase increased  (ALP) (All Grade),Blood alkaline phosphatase increased  (ALP) (Grade 3-5),?-Glutamyl transferase increased (GGT) (All Grade),?-Glutamyl transferase increased (GGT) (Grade 3-5),Pancreatitis   (All Grade),Pancreatitis   (Grade 3-5),Lipase increased (All Grade),Lipase increased (Grade 3-5),Amylase increased (All Grade),Amylase increased (Grade 3-5),Bilirubin increase (All Grade),Bilirubin increase (Grade 3-5),Hepatitis (All Grade),Hepatitis (Grade 3-5),Increased transaminases (All Grade),Increased transaminases (Grade 3-5),Pain (All Grade),Pain (Grade 3-5),Myalgia (All Grade),Myalgia (Grade 3-5),Pain in extremity (All Grade),Pain in extremity (Grade 3-5),Back pain (All Grade),Back pain (Grade 3-5),Arthralgia (All Grade),Arthralgia (Grade 3-5),Rash (All Grade),Rash (Grade 3-5),Rash maculo-papular (All Grade),Rash maculo-papular (Grade 3-5),Erythema (All Grade),Erythema (Grade 3-5),Dry skin (All Grade),Dry skin (Grade 3-5),Vitiligo (All Grade),Vitiligo (Grade 3-5),Alopecia   (All Grade),Alopecia  (Grade 3-5),Headache (All Grade),Headache (Grade 3-5),Dizziness (All Grade),Dizziness (Grade 3-5),Asthenia (All Grade),Asthenia (Grade 3-5),Dysgeusia (All Grade),Dysgeusia (Grade 3-5),Peripheral neuropathy (All Grade),Peripheral neuropathy (Grade 3-5),Thyroiditis (All Grade),Thyroiditis (Grade 3-5),Hypothyroidism (All Grade),Hypothyroidism (Grade 3-5),Hyperthyroidism (All Grade),Hyperthyroidism (Grade 3-5),Blood thyroid-stimulating hormone (TSH) decreased (All Grade),Blood thyroid-stimulating hormone (TSH) decreased (Grade 3-5),Blood thyroid-stimulating (TSH) hormone increased (All Grade),Blood thyroid-stimulating hormone (TSH) increased (Grade 3-5),Hypophysitis (All Grade),Hypophysitis (Grade 3-5),Adrenal insufficiency (All Grade),Adrenal insufficiency (Grade 3-5),Type 1 diabetes (All Grade),Type 1 diabetes (Grade 3-5),Hypopituitarism (All Grade),Hypopituitarism (Grade 3-5),Hyperglycemia (All Grade),Hyperglycemia (Grade 3-5),Autoimmune thyroiditis (All Grade),Autoimmune thyroiditis (Grade 3-5),Blood creatinine increased (All Grade),Blood creatinine increased (Grade 3-5),White blood cell decreased (All Grade),White blood cell decreased (Grade 3-5),Platelet count decreased (All Grade),Platelet count decreased (Grade 3-5),Anemia (All Grade),Anemia (Grade 3-5),Lymphopenia (All Grade),Lymphopenia (Grade 3-5),Neutropenia (All Grade),Neutropenia (Grade 3-5),Hyponatremia (All Grade),Hyponatremia (Grade 3-5),Hypophosphatemia (All Grade),Hypophosphatemia (Grade 3-5)
61,60,2016-Seiwert-Lancet Oncol,Pembrolizumab,PD-1,Other cancer,60,10 mg/kg Q2W,0,0,38,10,,,,,,,,,,,13,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,,
62,7,2016-Shimizu-Invest New Drugs,Pembrolizumab,PD-1,Mixed cancer types,7,10 mg/kg Q2W,0,0,,,,,,,,,1,0,,,0,0,,,1,0,,,1,0,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,1,0,1,0,,,,,,,,,,,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,1,0,,,,,,,,,1,0,,,1,0,1,1,,
63,25,2017-Alley-Lancet Oncol,Pembrolizumab,PD-1,Other cancer,25,10 mg/kg Q2W,0,0,16,5,1,0,,,,,2,1,,,6,0,4,0,,,,,,,,,3,0,,,2,0,,,,,,,,,2,1,1,0,,,,,3,1,,,6,0,,,2,0,2,0,,,,,1,1,1,0,1,0,1,0,,,,,,,,,,,,,,,1,0,,,,,5,0,1,0,2,0,,,2,0,,,,,2,0,,,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,1,1,,,,
64,370,2017-Balar-Lancet Oncol,Pembrolizumab,PD-1,GU cancer,370,200 mg Q3W,36,36,229,57,,,,,,,14,1,,,62,8,52,1,,,,,,,,,,,,,,,,,2,1,,,5,2,,,,,1,1,,,31,2,3,1,28,1,,,28,2,,,,,7,4,11,3,13,3,7,5,,,,,1,1,,,5,1,2,2,,,,,,,,,2,1,9,1,36,1,10,1,,,,,,,,,,,5,1,16,3,,,,,2,1,,,,,,,,,1,1,2,2,3,2,1,1,4,1,,,7,1,,,,,8,1,,,,,3,2,2,2
65,266,2017-Bellmunt-N Engl J Med,Pembrolizumab,PD-1,GU cancer,266,200 mg Q3W,26,26,162,40,2,0,,,,,,,,,37,3,52,0,,,,,,,,,,,,,,,,,,,,,11,6,,,,,,,,,23,0,,,29,1,,,24,3,6,0,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,1,0,2,0,17,0,10,0,,,,,,,1,1,,,,,,,,,,,,,,,9,2,,,1,1,,,,
66,171,2017-Bauml-J Clin Oncol,Pembrolizumab,PD-1,Other cancer,171,200 mg Q3W,3,3,109,26,,,,,,,,,,,30,1,8,0,6,0,,,,,,,,,,,,,,,,,,,6,2,,,5,0,,,,,9,0,,,11,0,,,10,1,,,,,,,7,0,11,4,4,2,,,,,,,,,,,,,,,,,5,0,,,,,6,0,9,0,4,1,,,,,,,,,,,4,0,,,,,5,0,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,4,1,,
67,210,2017-Chen-J Clin Oncol,Pembrolizumab,PD-1,Hematologic malignancy,210,200 mg Q3W,10,10, , ,,,,,,,22,1,5,0,19,1,8,0,,,2,0,,,,,,,,,,,,,,,,,,,7,2,12,1,,,,,,,,,12,0,8,0,15,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,4,0,9,1,16,0,,,,,,,,,,,13,0,,,3,0,,,,,,,26,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,11,5,,,,
68,25,2017-Ding-Blood,Pembrolizumab,PD-1,Hematologic malignancy,25,200 mg Q3W,1,1,25,15,,,,,,,2,1,2,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,6,2,7,0,,,2,2,,,,,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,10,5,,,9,5,,,,
69,23,2017-Doi-J Clin Oncol,Pembrolizumab,PD-1,GI cancer,23,10 mg/kg Q2W,0,0,9,4,,,,,,,,,,,1,0,1,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,,1,0,,,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,1,0,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,
70,24,2017-Frenel-J Clin Oncol,Pembrolizumab,PD-1,Other cancer,24,10 mg/kg Q2W,1,1,18,5,,,,,,,4,0,,,2,0,2,0,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,2,0,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,
71,947,2017-Gangadhar-J Immunother,Pembrolizumab,PD-1,Melanoma,947,2 mg/kg Q3W,0,0,181,29,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,41,,,,,,,,,,,,,,,,,,,,,,,,9,,2,,,,,,2,,7,,,,1,,,,,,,,,,,,,,,,,,,,,
72,27,2017-Hsu-J Clin Oncol,Pembrolizumab,PD-1,Other cancer,27,10 mg/kg Q2W,1,1,20,8,,,,,,,,,,,5,0,7,0,,,,,,,,,,,,,,,,,,,,,3,2,,,2,0,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,0,,,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,24,2017-Ott-J Clin Oncol,Pembrolizumab,PD-1,Other cancer,24,10 mg/kg Q2W,0,0,13,4,,,,,,,3,1,1,1,5,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,1,,,,,1,1,,
74,25,2017-Ott-Ann Oncol,Pembrolizumab,PD-1,GI cancer,25,10 mg/kg Q2W,1,0,16,3,,,2,0,,,,,,,4,0,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,4,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,1,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,
75,24,2017-Ott-J Clin Oncol2,Pembrolizumab,PD-1,Lung cancer,24,10 mg/kg Q2W,1,1,16,1,,,,,,,,,,,3,0,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,4,0,4,0,,,,,2,0,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,23,2017-O'Neil-PLoS One,Pembrolizumab,PD-1,GI cancer,23,10 mg/kg Q2W,0,0,8,1,,,,,,,,,,,3,0,1,0,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,1,0,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,0,,,,,1,0,,,,,1,0,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,33,2017-Plimack-Lancet Oncol,Pembrolizumab,PD-1,GU cancer,33,10 mg/kg Q2W,3,3,20,5,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
78,555,2017-Schachter-Lancet,Pembrolizumab,PD-1,Melanoma,278,10 mg/kg Q2W,27,27,229,47,,,,,,,,,,,79,1,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0,,,54,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0,44,0,,,,,,,,,,,,,,,,,,,,,,,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,2017-Schachter-Lancet,Pembrolizumab,PD-1,Melanoma,277,10 mg/kg Q3W,27,27,213,46,,,,,,,,,,,64,3,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,,,46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0,48,0,,,,,,,,,,,,,,,,,,,,,,,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,84,2017-Tawbi-Lancet Oncol,Pembrolizumab,PD-1,Other cancer,42,200 mg Q3W,0,0,40,21,,,,,,,4,0,3,0,10,0,2,0,4,0,4,0,,,,,,,,,,,2,0,2,1,,,2,0,8,1,12,0,,,3,2,,,1,1,7,1,4,1,5,0,7,0,3,0,,,7,0,10,0,16,4,,,,,,,,,2,1,,,,,5,0,3,1,5,2,6,0,0,0,,,2,0,,,,,,,,,1,0,,,,,,,,,,,2,0,3,0,,,,,,,0,0,,,,,6,0,,,5,1,6,2,6,3,18,6,,,,,14,1,2,1
79,,2017-Tawbi-Lancet Oncol,Pembrolizumab,PD-1,Other cancer,42,200 mg Q3W,0,0,38,21,,,,,,,5,0,2,0,24,2,4,0,8,0,3,0,,,,,,,,,,,1,1,1,0,,,2,1,11,2,12,0,,,1,1,,,0,0,15,0,7,1,10,1,10,1,10,2,,,6,1,5,0,13,0,,,,,,,,,1,0,,,,,3,0,3,0,7,1,13,2,7,0,,,2,0,,,,,,,,,8,1,,,,,,,,,,,2,0,4,0,,,,,,,2,1,,,,,11,2,,,7,1,4,1,6,1,23,3,,,,,13,2,1,0
80,42,2017-Yamazaki-Cancer Chemother Pharmacol,Pembrolizumab,PD-1,Melanoma,42,2 mg/kg Q3W,1,1,34,8, ,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,3,0,,,2,0,2,1,2,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,2,0,3,0,,,,,,,,,,,,,,,4,0,2,0,,,,,2,1,,,,,,,,,,,,,,,,,2,2,,,,,,,,
81,18,2017-Zinzani-Blood,Pembrolizumab,PD-1,Hematologic malignancy,18,mixed,0,0,11,2,,,,,,,2,0,,,2,0,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,2,0,,,2,0,1,0,2,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
82,107,2018-Adams-Ann Oncol,Pembrolizumab,PD-1,Other cancer,107,200 mg Q3W,5,5,103,22,3,0,,,,,,,,,35,1,11,0,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,13,0,,,19,1,,,12,3,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,11,0,,,,,,,20,0,9,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
83,12,2018-Adra-Ann Oncol,Pembrolizumab,PD-1,GU cancer,12,200 mg Q3W,0,0,,,,,,,2,0,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,5,0,4,0,3,0,2,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,
84,33,2018-Cho-J Clin Oncol,Pembrolizumab,PD-1,Other cancer,33,200 mg Q3W,1,1,,,,,,,,,,,,,7,0,3,0,,,,,,,,,,,,,,,,,,,2,0,,,11,0,6,0,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,4,4,,,,,3,0,,,4,0,,,2,0,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,
85,26,2018-Cohen-Am J Clin Oncol,Pembrolizumab,PD-1,Other cancer,26,10 mg/kg Q2W,1,0,22,3,,,,,,,,,,,8,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,3,0,,,4,0,,,,,,,2,0,2,0,,,,,,,,,,,2,0,1,1,,,,,2,0,,,,,3,0,,,,,,,,,,,,,,,,,2,0,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,
86,246,2018-Cohen-Lancet,Pembrolizumab,PD-1,Other cancer,246,200 mg Q3W,24,24,155,33,8,1,,,,,,,,,31,4,,,,,,,,,,,,,6,1,9,1,,,,,,,10,3,,,,,,,,,,,,,12,0,,,20,4,,,,,2,0,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,19,1,,,,,,,,,1,0,,,,,18,1,,,,,,,37,1,5,0,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,
87,509,2018-Eggermont-N Engl J Med,Pembrolizumab,PD-1,Melanoma,509,200 mg Q3W,50,50,396,75,,,,,,,,,,,,,90,0,,,,,,,2,0,,,,,,,,,,,,,17,4,30,1,,,,,,,,,,,58,0,,,97,4,,,,,19,10,,,,,,,,,2,1,,,,,,,9,7,,,,,,,,,,,61,3,82,1,,,,,,,24,0,,,,,,,,,,,,,16,0,73,0,52,1,,,,,11,3,5,1,5,5,,,,,,,,,,,,,,,,,,,,,,
88,259,2018-Fuchs-JAMA Oncol,Pembrolizumab,PD-1,GI cancer,259,200 mg Q3W,12,12,156,46,,,,,,,,,,,49,6,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,,,18,2,,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,22,2,,,,,,,,,,,,,,,,,,,,,,,20,1,,,,,,,,,,,,,,,,,,,,,,,,,18,7,,,,,,,,
89,45,2018-Gadgeel-J Thorac Oncol,Pembrolizumab,PD-1,Lung cancer,45,200 mg Q3W,4,4,,,,,,,,,,,,,18,0,10,0,,,,,,,,,,,,,,,,,,,,,,,9,0,10,0,,,,,,,,,12,0,,,7,0,10,0,5,0,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,6,0,,,8,0,,,,,,,,,,,6,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,40,2018-Giaccone-Lancet Oncol,Pembrolizumab,PD-1,Other cancer,40,200 mg Q3W,0,0,,,,,,,2,0,5,0,,,19,3,,,,,,,,,,,2,0,,,,,,,,,,,,,3,3,,,,,,,,,1,0,4,0,,,9,0,,,,,,,10,5,16,5,10,0,,,,,1,1,1,0,2,0,,,,,,,3,3,,,,,5,1,4,0,,,,,,,,,,,,,,,,,,,,,,,5,0,2,0,,,,,,,,,,,,,1,1,,,3,3,,,,,4,2,,,2,0,,,,
91,23,2018-Hansen-Ann Oncol,Pembrolizumab,PD-1,GU cancer,23,10 mg/kg Q2W,1,0,14,3,,,,,,,,,,,2,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,3,0,,,2,0,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,2,1,,,1,1,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,50,2018-Necchi-J Clin Oncol,Pembrolizumab,PD-1,GU cancer,50,200 mg Q3W,0,0,,,,,,,,,3,0,,,,,3,0,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,,,,,,,,,,,3,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,25,2018-Rugo-Clin Cancer Res,Pembrolizumab,PD-1,Other cancer,25,10 mg/kg Q2W,1,0,16,4,,,,,,,,,,,3,0,2,0,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,2,0,,,5,1,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,294,2018-Shitara-Lancet,Pembrolizumab,PD-1,GI cancer,294,200 mg Q3W,29,29,155,42,5,0,,,,,,,,,35,7,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,24,2,,,17,1,,,16,1,,,,,3,1,,,,,,,,,0,0,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,1,0,,,23,0,12,0,,,,,4,2,,,1,0,,,,,,,,,,,,,10,7,,,,,,,,
95,104,2018-Zhu-Lancet Oncol,Pembrolizumab,PD-1,GI cancer,104,200 mg Q3W,10,0,76,27,,,,,,,,,,,22,4,12,0,,,,,,,,,,,,,1,1,,,,,,,,,5,1,,,,,,,7,1,,,8,0,,,11,0,,,,,,,9,4,14,7,,,1,1,,,,,,,5,2,,,,,,,7,1,,,,,5,0,10,0,5,0,,,,,,,,,,,,,7,0,,,,,,,6,0,,,,,,,,,3,2,1,1,,,,,,,,,,,,,3,1,,,,,,,,
96,277,2014-Herbst-Nature,Atezolizumab,PD-L1,Mixed cancer types,277,mixed,11,1,194,35,,,,,16,1,32,0,19,0,67,5,23,0,,,,,,,,,,,,,,,,,,,,,,,15,2,,,,,,,33,0,,,32,1,11,1,29,0,,,,,,,6,3,4,3,,,,,,,,,,,,,,,,,15,1,13,0,,,,,22,0,29,0,,,,,12,0,,,,,21,1,,,15,2,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,4,2,2,2
97,142,2016-Fehrenbacher-Lancet,Atezolizumab,PD-L1,Lung cancer,142,1200 mg Q3W,14,14,95,16,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,25,,,,17,,8,,10,,7,,,,2,1,6,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,1,,,,,
98,70,2016-McDermott-J Clin Oncol,Atezolizumab,PD-L1,GU cancer,70,mixed,1,0,59,12,,,,,8,1,8,0,8,0,20,3,8,0,,,2,0,,,,,2,0,3,0,3,0,,,,,4,0,2,0,4,1,2,0,,,,,11,0,2,1,9,0,4,0,8,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,2,0,10,0,10,0,,,3,0,6,0,,,,,5,1,,,5,0,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,2,2
99,310,2016-Rosenberg-Lancet,Atezolizumab,PD-L1,GU cancer,310,1200 mg Q3W,0,0,215,50,,,,,,,28,1,,,93,5,31,1,,,,,,,,,,,,,,,3,3,5,2,,,7,2,10,2,,,,,,,36,2,,,42,0,18,1,24,1,,,,,3,2,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,21,2,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,,
100,119,2017-Balar-Lancet,Atezolizumab,PD-L1,GU cancer,119,1200 mg Q3W,2,0,79,19,4,0,1,1,3,0,6,0,6,0,36,4,14,1,,,,,,,,,3,0,,,,,,,3,1,,,,,4,0,,,,,,,11,1,,,6,0,6,0,14,2,,,,,1,1,5,4,4,3,4,1,,,,,,,1,1,4,2,,,,,,,,,,,3,0,5,0,6,1,5,0,,,,,,,,,3,0,,,3,0,,,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,3,2
101,6,2016-Mizugaki-Invest New Drugs,Atezolizumab,PD-L1,Mixed cancer types,3,10 mg/kg Q3W,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,2016-Mizugaki-Invest New Drugs,Atezolizumab,PD-L1,Mixed cancer types,3,20 mg/kg Q3W,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,659,2017-Peters-J Clin Oncol,Atezolizumab,PD-L1,Lung cancer,659,1200 mg Q3W,32,32,429,81,,,,,,,54,1,,,122,7,65,0,,,,,,,,,,,,,,,,,,,,,26,11,,,,,,,,,53,1,,,73,4,,,71,2,,,,,10,3,23,2,26,5,,,,,,,,,,,,,,,,,,,,,,,,,39,2,70,9,13,2,,,,,,,,,,,,,50,3,,,15,0,,,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,609,2017-Rittmeyer-Lancet,Atezolizumab,PD-L1,Lung cancer,609,1200 mg Q3W,60,60,390,90,,,,,,,108,1,,,163,17,,,,,,,,,,,,,19,1,,,,,,,54,1,,,118,15,141,2,,,,,143,2,,,108,4,74,2,94,4,107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,39,1,,,67,7,73,3,,,,,,,,,,,3,0,,,,,116,8,18,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,14,,,10,3,,,,
104,32,2018-Colevas-Ann Oncol,Atezolizumab,PD-L1,Other cancer,32,mixed,1,0,21,4,,,,,3,0,3,0,2,0,7,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,3,0,,,2,0,1,1,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,5,0,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
105,116,2018-Emens-JAMA Oncol,Atezolizumab,PD-L1,Other cancer,116,mixed,3,3,73,13,,,,,9,0,19,0,,,15,1,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,,,13,1,8,1,12,1,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,3,0,4,1,,,,,4,1,10,0,,,,,,,,,,,6,0,3,0,11,0,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,3,1,3,1,,
